id,title,artist,found_preview_url
87163,wherever u r (ft. V of BTS),UMI,"https://cdnt-preview.dzcdn.net/api/1/1/f/2/5/0/f25766bb9eb0be56549c6aa3587faaf7.mp3?hdnea=exp=1760062821~acl=/api/1/1/f/2/5/0/f25766bb9eb0be56549c6aa3587faaf7.mp3*~data=user_id=0,application_id=42~hmac=973b01edb36d167c62de204e3104dc8da5b0db725d2c27a3dfd82bacc996f08b"
87164,Snow Flower (feat. Peakboy),V,"https://cdnt-preview.dzcdn.net/api/1/1/9/5/7/0/95780f8579527e7e7d3c5f2e7b23bdff.mp3?hdnea=exp=1760062822~acl=/api/1/1/9/5/7/0/95780f8579527e7e7d3c5f2e7b23bdff.mp3*~data=user_id=0,application_id=42~hmac=483264697dfb07514b56423645be56abca3adc0e4a3edb15d8374e30998d3d09"
87165,Мать-земля (Funeral Flowers Remix),SIVERNOT,"https://cdnt-preview.dzcdn.net/api/1/1/c/0/1/0/c01c34abe3828051e5121611c5f7eb53.mp3?hdnea=exp=1760062823~acl=/api/1/1/c/0/1/0/c01c34abe3828051e5121611c5f7eb53.mp3*~data=user_id=0,application_id=42~hmac=92dbfffca15bd3ea8e9f049e24adcff1729a0fd09035c0e695e9f16b026242b9"
87166,Different Type of Love (feat. Masicka),Mahalia,"https://cdnt-preview.dzcdn.net/api/1/1/4/b/0/0/4b07b7b2e7c9a41797ef579b2ca6d108.mp3?hdnea=exp=1760062823~acl=/api/1/1/4/b/0/0/4b07b7b2e7c9a41797ef579b2ca6d108.mp3*~data=user_id=0,application_id=42~hmac=50431910fd67031e306f052f56510f362260ca666084a0941b7dc323a3039b62"
87167,Un monde à l'autre,GP Explorer,"https://cdnt-preview.dzcdn.net/api/1/1/4/e/4/0/4e49031b26e757e8788eb2b64f44407f.mp3?hdnea=exp=1760062824~acl=/api/1/1/4/e/4/0/4e49031b26e757e8788eb2b64f44407f.mp3*~data=user_id=0,application_id=42~hmac=26acbe465286c007cef2fc567d5fc82df71720f0e9e53c4fbc5581d35ca5fef6"
87168,How It’s Done,HUNTR/X,"https://cdnt-preview.dzcdn.net/api/1/1/7/3/5/0/735284bd0bce17bd5a972d24ca4b2303.mp3?hdnea=exp=1760062824~acl=/api/1/1/7/3/5/0/735284bd0bce17bd5a972d24ca4b2303.mp3*~data=user_id=0,application_id=42~hmac=5253dec576f23faf6a06db5ea817d758d998cc989f6ff40b9c267c634a59c01d"
87169,Quelques centimes,Marie-Flore,"https://cdnt-preview.dzcdn.net/api/1/1/5/3/1/0/531db1be201ad9143a6b0a0fcba4abb4.mp3?hdnea=exp=1760062825~acl=/api/1/1/5/3/1/0/531db1be201ad9143a6b0a0fcba4abb4.mp3*~data=user_id=0,application_id=42~hmac=e749d7bc904481962fbbeb013d6663a6f1b2785d988e774e4447a44731badd21"
87170,I Belong In Your Arms,Chairlift,"https://cdnt-preview.dzcdn.net/api/1/1/b/c/a/0/bca8ae5718e5af77b027114faf75eeba.mp3?hdnea=exp=1760062825~acl=/api/1/1/b/c/a/0/bca8ae5718e5af77b027114faf75eeba.mp3*~data=user_id=0,application_id=42~hmac=4b97ad8b6c41febe027c1dd5e551b0f62b4af3f7c22608f07e44af3ac3a780dc"
87171,Mahika,Adie,"https://cdnt-preview.dzcdn.net/api/1/1/e/e/2/0/ee23687d31582c07bb0a82c724cd63b8.mp3?hdnea=exp=1760062826~acl=/api/1/1/e/e/2/0/ee23687d31582c07bb0a82c724cd63b8.mp3*~data=user_id=0,application_id=42~hmac=3a4720179f8ac276c1b8d2ed16230940564866c25c5ea171dd4a9c3e4307b947"
87172,You're All I Need To Get By,Marvin Gaye,"https://cdnt-preview.dzcdn.net/api/1/1/c/4/1/0/c41d9414a6676d91c037a2e903c35331.mp3?hdnea=exp=1760062826~acl=/api/1/1/c/4/1/0/c41d9414a6676d91c037a2e903c35331.mp3*~data=user_id=0,application_id=42~hmac=b9737cbcf211c8da2fe7bdb9d9866865326f6a2cbf694d8a678fc26796a79a80"
